Rank,Pokemon,Usage %,Raw,%,Real,%
353,Swoobat,0.00002%,342,0.286%,243,0.260%
354,Charizard,0.00002%,645,0.539%,522,0.559%
355,Flareon,0.00002%,264,0.221%,214,0.229%
356,Dedenne,0.00002%,77,0.064%,62,0.066%
357,Volbeat,0.00002%,155,0.130%,121,0.130%
358,Escavalier,0.00001%,221,0.185%,177,0.190%
359,Camerupt,0.00001%,75,0.063%,69,0.074%
360,Rapidash,0.00001%,151,0.126%,118,0.126%
361,Magcargo,0.00001%,114,0.095%,83,0.089%
362,Tangela,0.00001%,63,0.053%,57,0.061%
363,Persian,0.00001%,70,0.059%,51,0.055%
364,Furfrou,0.00001%,72,0.060%,54,0.058%
365,Relicanth,0.00001%,15,0.013%,13,0.014%
366,Ampharos,0.00001%,146,0.122%,111,0.119%
367,Mantine,0.00001%,117,0.098%,102,0.109%
368,Rotom,0.00001%,118,0.099%,89,0.095%
369,Buneary,0.00001%,67,0.056%,59,0.063%
370,Piplup,0.00001%,49,0.041%,32,0.034%
371,Quilava,0.00001%,32,0.027%,26,0.028%
372,Audino,0.00001%,177,0.148%,142,0.152%
373,Wormadam-Trash,0.00000%,5,0.004%,5,0.005%
374,Masquerain,0.00000%,78,0.065%,74,0.079%
375,Hariyama,0.00000%,200,0.167%,164,0.176%
376,Golduck,0.00000%,37,0.031%,32,0.034%
377,Corsola,0.00000%,37,0.031%,36,0.039%
378,Skuntank,0.00000%,24,0.020%,21,0.022%
379,Beheeyem,0.00000%,20,0.017%,18,0.019%
380,Bergmite,0.00000%,1,0.001%,1,0.001%
381,Emolga,0.00000%,105,0.088%,95,0.102%
382,Braixen,0.00000%,44,0.037%,34,0.036%
383,Electrode,0.00000%,126,0.105%,118,0.126%
384,Sandslash,0.00000%,195,0.163%,176,0.188%
385,Cacturne,0.00000%,97,0.081%,80,0.086%
386,Klang,0.00000%,3,0.003%,3,0.003%
387,Feebas,0.00000%,4,0.003%,4,0.004%
388,Onix,0.00000%,38,0.032%,36,0.039%
389,Archeops,0.00000%,54,0.045%,44,0.047%
390,Shroomish,0.00000%,101,0.084%,86,0.092%
391,Houndoom,0.00000%,281,0.235%,232,0.248%
392,Electabuzz,0.00000%,21,0.018%,18,0.019%
393,Butterfree,0.00000%,186,0.156%,122,0.131%
394,Noctowl,0.00000%,45,0.038%,36,0.039%
395,Haunter,0.00000%,28,0.023%,22,0.024%
396,Azurill,0.00000%,3,0.003%,3,0.003%
397,Munchlax,0.00000%,15,0.013%,12,0.013%
398,Furret,0.00000%,55,0.046%,49,0.052%
399,Kangaskhan,0.00000%,97,0.081%,82,0.088%
400,Mr. Mime,0.00000%,63,0.053%,46,0.049%
401,Grumpig,0.00000%,22,0.018%,19,0.020%
402,Gogoat,0.00000%,141,0.118%,108,0.116%
403,Ledian,0.00000%,5,0.004%,4,0.004%
404,Ariados,0.00000%,34,0.028%,24,0.026%
405,Wartortle,0.00000%,44,0.037%,35,0.037%
406,Muk,0.00000%,278,0.232%,213,0.228%
407,Sunflora,0.00000%,15,0.013%,11,0.012%
408,Unown,0.00000%,3,0.003%,2,0.002%
409,Duskull,0.00000%,3,0.003%,2,0.002%
410,Mothim,0.00000%,23,0.019%,13,0.014%
411,Flaaffy,0.00000%,18,0.015%,15,0.016%
412,Mesprit,0.00000%,127,0.106%,113,0.121%
413,Pinsir,0.00000%,60,0.050%,45,0.048%
414,Kricketune,0.00000%,32,0.027%,28,0.030%
415,Jumpluff,0.00000%,86,0.072%,69,0.074%
416,Sudowoodo,0.00000%,16,0.013%,15,0.016%
417,Bellossom,0.00000%,30,0.025%,27,0.029%
418,Granbull,0.00000%,58,0.048%,46,0.049%
419,Dunsparce,0.00000%,57,0.048%,48,0.051%
420,Swanna,0.00000%,61,0.051%,47,0.050%
421,Aromatisse,0.00000%,147,0.123%,109,0.117%
422,Banette,0.00000%,77,0.064%,56,0.060%
423,Taillow,0.00000%,91,0.076%,74,0.079%
424,Delibird,0.00000%,22,0.018%,20,0.021%
425,Octillery,0.00000%,17,0.014%,13,0.014%
426,Golbat,0.00000%,70,0.059%,57,0.061%
427,Stantler,0.00000%,1,0.001%,1,0.001%
428,Zebstrika,0.00000%,90,0.075%,67,0.072%
429,Beautifly,0.00000%,22,0.018%,17,0.018%
430,Metang,0.00000%,10,0.008%,9,0.010%
431,Garbodor,0.00000%,77,0.064%,69,0.074%
432,Bouffalant,0.00000%,131,0.110%,90,0.096%
433,Illumise,0.00000%,20,0.017%,14,0.015%
434,Castform,0.00000%,23,0.019%,19,0.020%
435,Dewgong,0.00000%,13,0.011%,10,0.011%
436,Minun,0.00000%,12,0.010%,9,0.010%
437,Wailord,0.00000%,47,0.039%,37,0.040%
438,Lairon,0.00000%,5,0.004%,2,0.002%
439,Glalie,0.00000%,57,0.048%,44,0.047%
440,Seviper,0.00000%,67,0.056%,50,0.054%
441,Huntail,0.00000%,8,0.007%,7,0.007%
442,Luvdisc,0.00000%,5,0.004%,5,0.005%
443,Sliggoo,0.00000%,10,0.008%,9,0.010%
444,Murkrow,0.00000%,43,0.036%,33,0.035%
445,Duosion,0.00000%,35,0.029%,24,0.026%
446,Heatmor,0.00000%,11,0.009%,10,0.011%
447,Riolu,0.00000%,37,0.031%,26,0.028%
448,Tirtouga,0.00000%,8,0.007%,5,0.005%
449,Buizel,0.00000%,64,0.054%,53,0.057%
450,Clamperl,0.00000%,42,0.035%,35,0.037%
451,Fletchinder,0.00000%,8,0.007%,6,0.006%
452,Eevee,0.00000%,16,0.013%,14,0.015%
453,Roggenrola,0.00000%,2,0.002%,1,0.001%
454,Cleffa,0.00000%,4,0.003%,0,0.000%
455,Bronzor,0.00000%,4,0.003%,2,0.002%
456,Snubbull,0.00000%,1,0.001%,0,0.000%
457,Houndour,0.00000%,2,0.002%,1,0.001%
458,Zorua,0.00000%,4,0.003%,2,0.002%
459,Rufflet,0.00000%,2,0.002%,1,0.001%
460,Doduo,0.00000%,22,0.018%,17,0.018%
461,Pansage,0.00000%,5,0.004%,5,0.005%
462,Skiploom,0.00000%,2,0.002%,2,0.002%
463,Archen,0.00000%,1,0.001%,1,0.001%
464,Totodile,0.00000%,6,0.005%,3,0.003%
465,Maractus,0.00000%,26,0.022%,24,0.026%
466,Wooper,0.00000%,26,0.022%,21,0.022%
467,Makuhita,0.00000%,8,0.007%,5,0.005%
468,Cherrim,0.00000%,12,0.010%,11,0.012%
469,Snorunt,0.00000%,5,0.004%,5,0.005%
470,Aipom,0.00000%,3,0.003%,2,0.002%
471,Yanma,0.00000%,2,0.002%,2,0.002%
472,Fennekin,0.00000%,5,0.004%,5,0.005%
473,Espurr,0.00000%,2,0.002%,1,0.001%
474,Skiddo,0.00000%,1,0.001%,1,0.001%
475,Shuppet,0.00000%,3,0.003%,3,0.003%
476,Dodrio,0.00000%,46,0.038%,32,0.034%
477,NidoranM,0.00000%,4,0.003%,1,0.001%
478,Togepi,0.00000%,2,0.002%,2,0.002%
479,Solrock,0.00000%,20,0.017%,15,0.016%
480,Gourgeist-Small,0.00000%,28,0.023%,26,0.028%
481,Diglett,0.00000%,12,0.010%,11,0.012%
482,Sealeo,0.00000%,4,0.003%,3,0.003%
483,Venonat,0.00000%,2,0.002%,2,0.002%
484,Treecko,0.00000%,9,0.008%,4,0.004%
