Rank,Pokemon,Usage %,Raw,%,Real,%
462,Darumaka,0.00000%,15,0.021%,14,0.027%
463,Avalugg,0.00000%,70,0.097%,55,0.106%
464,Altaria,0.00000%,86,0.119%,57,0.109%
465,Cryogonal,0.00000%,52,0.072%,36,0.069%
466,Tauros,0.00000%,71,0.099%,59,0.113%
467,Treecko,0.00000%,18,0.025%,11,0.021%
468,Persian,0.00000%,20,0.028%,18,0.035%
469,Sudowoodo,0.00000%,74,0.103%,71,0.136%
470,Drowzee,0.00000%,12,0.017%,12,0.023%
471,Noibat,0.00000%,8,0.011%,8,0.015%
472,Raticate,0.00000%,153,0.212%,102,0.196%
473,Farfetch'd,0.00000%,27,0.037%,15,0.029%
474,Medicham,0.00000%,80,0.111%,55,0.106%
475,Munchlax,0.00000%,31,0.043%,25,0.048%
476,Hitmontop,0.00000%,133,0.185%,102,0.196%
477,Vileplume,0.00000%,77,0.107%,57,0.109%
478,Simisear,0.00000%,17,0.024%,12,0.023%
