Rank,Pokemon,Usage %,Raw,%,Real,%
256,Honedge,0.00016%,15,0.011%,13,0.012%
257,Gourgeist,0.00011%,75,0.056%,63,0.058%
258,Torracat,0.00010%,63,0.047%,50,0.046%
259,Silvally-Bug,0.00009%,56,0.042%,45,0.041%
260,Jigglypuff,0.00007%,16,0.012%,13,0.012%
261,Spritzee,0.00006%,5,0.004%,4,0.004%
262,Eevee,0.00004%,52,0.039%,44,0.041%
263,Hakamo-o,0.00003%,27,0.020%,20,0.018%
264,Sandygast,0.00002%,49,0.036%,42,0.039%
265,Sinistea,0.00002%,7,0.005%,5,0.005%
266,Foongus,0.00002%,3,0.002%,1,0.001%
267,Mantyke,0.00001%,44,0.033%,30,0.028%
268,Machoke,0.00001%,26,0.019%,21,0.019%
269,Duskull,0.00001%,10,0.007%,7,0.006%
270,Charjabug,0.00001%,46,0.034%,42,0.039%
271,Oranguru,0.00000%,55,0.041%,47,0.043%
272,Luxio,0.00000%,2,0.001%,1,0.001%
273,Slowpoke-Galar,0.00000%,13,0.010%,8,0.007%
274,Boldore,0.00000%,26,0.019%,20,0.018%
275,Cubone,0.00000%,12,0.009%,9,0.008%
276,Natu,0.00000%,10,0.007%,6,0.006%
277,Pawniard,0.00000%,47,0.035%,39,0.036%
278,Inkay,0.00000%,4,0.003%,4,0.004%
279,Larvitar,0.00000%,3,0.002%,3,0.003%
280,Vanillish,0.00000%,8,0.006%,8,0.007%
281,Koffing,0.00000%,4,0.003%,3,0.003%
282,Toxel,0.00000%,9,0.007%,9,0.008%
283,Herdier,0.00000%,8,0.006%,5,0.005%
284,Darumaka,0.00000%,9,0.007%,9,0.008%
285,Cubchoo,0.00000%,7,0.005%,7,0.006%
286,Mudbray,0.00000%,5,0.004%,5,0.005%
287,Wingull,0.00000%,5,0.004%,4,0.004%
288,Stufful,0.00000%,8,0.006%,6,0.006%
289,Linoone-Galar,0.00000%,26,0.019%,25,0.023%
290,Seadra,0.00000%,23,0.017%,16,0.015%
291,Klang,0.00000%,5,0.004%,4,0.004%
292,Silvally-Ice,0.00000%,114,0.085%,74,0.068%
293,Hoothoot,0.00000%,7,0.005%,6,0.006%
294,Snover,0.00000%,2,0.001%,2,0.002%
295,Rufflet,0.00000%,9,0.007%,8,0.007%
296,Vanillite,0.00000%,1,0.001%,1,0.001%
297,Sandshrew-Alola,0.00000%,3,0.002%,0,0.000%
298,Salandit,0.00000%,4,0.003%,3,0.003%
299,Poliwhirl,0.00000%,11,0.008%,8,0.007%
300,Helioptile,0.00000%,3,0.002%,3,0.003%
301,Krabby,0.00000%,20,0.015%,14,0.013%
302,Loudred,0.00000%,8,0.006%,5,0.005%
303,Lickitung,0.00000%,8,0.006%,7,0.006%
304,Cutiefly,0.00000%,9,0.007%,8,0.007%
305,Tyrogue,0.00000%,12,0.009%,10,0.009%
306,Silvally-Psychic,0.00000%,35,0.026%,21,0.019%
307,Dwebble,0.00000%,19,0.014%,16,0.015%
308,Darumaka-Galar,0.00000%,7,0.005%,6,0.006%
309,Magikarp,0.00000%,3,0.002%,3,0.003%
310,Buneary,0.00000%,2,0.001%,1,0.001%
311,Silicobra,0.00000%,8,0.006%,7,0.006%
312,Magnemite,0.00000%,37,0.028%,23,0.021%
313,Cleffa,0.00000%,6,0.004%,4,0.004%
314,Zorua,0.00000%,4,0.003%,1,0.001%
315,Popplio,0.00000%,2,0.001%,2,0.002%
316,Squirtle,0.00000%,5,0.004%,3,0.003%
317,Wimpod,0.00000%,1,0.001%,0,0.000%
318,Wooper,0.00000%,2,0.001%,2,0.002%
319,Goldeen,0.00000%,3,0.002%,3,0.003%
320,Kirlia,0.00000%,4,0.003%,4,0.004%
321,Togepi,0.00000%,1,0.001%,1,0.001%
322,Scraggy,0.00000%,5,0.004%,4,0.004%
323,Fletchling,0.00000%,2,0.001%,2,0.002%
324,Bunnelby,0.00000%,2,0.001%,2,0.002%
325,Jangmo-o,0.00000%,2,0.001%,2,0.002%
326,Baltoy,0.00000%,1,0.001%,1,0.001%
327,Pidove,0.00000%,6,0.004%,4,0.004%
328,Purrloin,0.00000%,2,0.001%,2,0.002%
329,Clauncher,0.00000%,4,0.003%,4,0.004%
330,Tympole,0.00000%,3,0.002%,2,0.002%
331,Klink,0.00000%,1,0.001%,1,0.001%
332,Bulbasaur,0.00000%,5,0.004%,4,0.004%
333,Ralts,0.00000%,2,0.001%,2,0.002%
334,Litten,0.00000%,3,0.002%,3,0.003%
335,Seedot,0.00000%,1,0.001%,1,0.001%
336,Electrike,0.00000%,6,0.004%,6,0.006%
337,Venipede,0.00000%,2,0.001%,2,0.002%
338,Corvisquire,0.00000%,7,0.005%,5,0.005%
339,Metapod,0.00000%,1,0.001%,1,0.001%
340,Sobble,0.00000%,2,0.001%,2,0.002%
341,Sandshrew,0.00000%,2,0.001%,2,0.002%
342,Carvanha,0.00000%,4,0.003%,3,0.003%
343,Elgyem,0.00000%,1,0.001%,0,0.000%
344,Pichu,0.00000%,1,0.001%,1,0.001%
345,Grookey,0.00000%,3,0.002%,3,0.003%
346,Brionne,0.00000%,110,0.082%,87,0.080%
347,Lombre,0.00000%,1,0.001%,1,0.001%
348,Frillish,0.00000%,4,0.003%,4,0.004%
349,Lampent,0.00000%,17,0.013%,10,0.009%
350,Swinub,0.00000%,3,0.002%,3,0.003%
351,Woobat,0.00000%,1,0.001%,0,0.000%
352,Gossifleur,0.00000%,3,0.002%,3,0.003%
353,Shellder,0.00000%,1,0.001%,1,0.001%
354,Chewtle,0.00000%,2,0.001%,2,0.002%
355,Drizzile,0.00000%,2,0.001%,2,0.002%
356,Pumpkaboo-Super,0.00000%,1,0.001%,1,0.001%
357,Bonsly,0.00000%,2,0.001%,2,0.002%
358,Igglybuff,0.00000%,6,0.004%,3,0.003%
359,Kubfu,0.00000%,15,0.011%,10,0.009%
360,Trubbish,0.00000%,1,0.001%,1,0.001%
361,Noibat,0.00000%,2,0.001%,2,0.002%
362,Croagunk,0.00000%,4,0.003%,4,0.004%
363,Meltan,0.00000%,2,0.001%,1,0.001%
364,Meowth-Alola,0.00000%,1,0.001%,0,0.000%
365,Sandile,0.00000%,1,0.001%,1,0.001%
366,Snom,0.00000%,5,0.004%,5,0.005%
367,Gastly,0.00000%,2,0.001%,0,0.000%
368,Ponyta-Galar,0.00000%,1,0.001%,1,0.001%
369,Drifloon,0.00000%,1,0.001%,1,0.001%
370,Solosis,0.00000%,5,0.004%,5,0.005%
371,Milcery,0.00000%,2,0.001%,2,0.002%
372,Impidimp,0.00000%,2,0.001%,1,0.001%
373,Charmander,0.00000%,7,0.005%,6,0.006%
374,Karrablast,0.00000%,2,0.001%,2,0.002%
375,Hatenna,0.00000%,2,0.001%,0,0.000%
376,Blipbug,0.00000%,2,0.001%,2,0.002%
377,Trapinch,0.00000%,5,0.004%,4,0.004%
